Long run on 2020-01-01: 18.78 miles at 10:15/mi, avg HR 143 bpm, elevation gain 73 ft. Location: Central Park. Weather was breezy. Perceived effort 5/10.
Interval on 2020-01-28: 5.24 miles at 6:15/mi, avg HR 170 bpm, elevation gain 31 ft. Location: the neighborhood. Weather was hot. Perceived effort 1/10.
Easy on 2020-01-29: 11.1 miles at 9:54/mi, avg HR 150 bpm, elevation gain 51 ft. Location: the beach path. Weather was hot. Perceived effort 7/10.
Long run on 2020-01-30: 19.13 miles at 10:10/mi, avg HR 139 bpm, elevation gain 65 ft. Location: the trails. Weather was crisp. Perceived effort 6/10.
Fartlek on 2020-01-31: 8.18 miles at 8:28/mi, avg HR 167 bpm, elevation gain 44 ft. Location: the lake path. Weather was muggy. Perceived effort 8/10.
Race on 2020-02-01: 6.2 miles at 7:02/mi, avg HR 165 bpm, elevation gain 30 ft. Location: the trails. Weather was breezy. Perceived effort 9/10.
Race on 2020-02-03: 26.2 miles at 7:27/mi, avg HR 168 bpm, elevation gain 22 ft. Location: the hills. Weather was perfect weather. Perceived effort 6/10.
Tempo on 2020-02-04: 5.83 miles at 8:14/mi, avg HR 157 bpm, elevation gain 6 ft. Location: the greenway. Weather was rainy. Perceived effort 2/10.
Long run on 2020-02-05: 21.16 miles at 9:35/mi, avg HR 140 bpm, elevation gain 132 ft. Location: the track. Weather was muggy. Perceived effort 3/10.
Trail on 2020-02-08: 10.43 miles at 11:57/mi, avg HR 150 bpm, elevation gain 16 ft. Location: the hills. Weather was overcast. Perceived effort 7/10.
Fartlek on 2020-02-10: 10.46 miles at 8:33/mi, avg HR 162 bpm, elevation gain 181 ft. Location: the greenway. Weather was cold. Perceived effort 9/10.
Long run on 2020-02-11: 12.74 miles at 9:39/mi, avg HR 142 bpm, elevation gain 44 ft. Location: the neighborhood. Weather was foggy. Perceived effort 5/10.
Recovery on 2020-02-14: 2.02 miles at 11:09/mi, avg HR 132 bpm, elevation gain 57 ft. Location: Riverside Park. Weather was cold. Perceived effort 7/10.
Fartlek on 2020-02-15: 4.96 miles at 7:47/mi, avg HR 151 bpm, elevation gain 32 ft. Location: Central Park. Weather was breezy. Perceived effort 5/10.
Tempo on 2020-02-17: 8.15 miles at 7:25/mi, avg HR 165 bpm, elevation gain 97 ft. Location: the greenway. Weather was overcast. Perceived effort 5/10.
Interval on 2020-02-20: 7.85 miles at 6:37/mi, avg HR 171 bpm, elevation gain 23 ft. Location: the track. Weather was hot. Perceived effort 3/10.
Easy on 2020-02-22: 6.28 miles at 8:32/mi, avg HR 139 bpm, elevation gain 3 ft. Location: the hills. Weather was hot. Perceived effort 8/10.
Long run on 2020-02-23: 10.62 miles at 10:01/mi, avg HR 164 bpm, elevation gain 26 ft. Location: downtown. Weather was cold. Perceived effort 4/10.
Interval on 2020-02-24: 4.58 miles at 6:24/mi, avg HR 174 bpm, elevation gain 53 ft. Location: the hills. Weather was overcast. Perceived effort 2/10.
Fartlek on 2020-02-27: 5.9 miles at 9:04/mi, avg HR 161 bpm, elevation gain 104 ft. Location: the canal trail. Weather was overcast. Perceived effort 9/10.
Tempo on 2020-02-28: 9.07 miles at 8:11/mi, avg HR 150 bpm, elevation gain 61 ft. Location: the neighborhood. Weather was rainy. Perceived effort 9/10.
Race on 2020-02-29: 26.2 miles at 6:30/mi, avg HR 163 bpm, elevation gain 3 ft. Location: the trails. Weather was foggy. Perceived effort 4/10.
Race on 2020-03-03: 26.2 miles at 7:50/mi, avg HR 174 bpm, elevation gain 1 ft. Location: the neighborhood. Weather was muggy. Perceived effort 6/10.
Fartlek on 2020-03-05: 9.16 miles at 7:43/mi, avg HR 155 bpm, elevation gain 15 ft. Location: Riverside Park. Weather was windy. Perceived effort 4/10.
Recovery on 2020-03-06: 4.81 miles at 10:32/mi, avg HR 142 bpm, elevation gain 11 ft. Location: Central Park. Weather was crisp. Perceived effort 9/10.
Interval on 2020-03-07: 7.7 miles at 6:06/mi, avg HR 169 bpm, elevation gain 167 ft. Location: Central Park. Weather was overcast. Perceived effort 1/10.
Long run on 2020-03-08: 19.81 miles at 10:24/mi, avg HR 135 bpm, elevation gain 64 ft. Location: Central Park. Weather was hot. Perceived effort 2/10.
Interval on 2020-03-10: 4.37 miles at 5:42/mi, avg HR 173 bpm, elevation gain 182 ft. Location: the treadmill. Weather was muggy. Perceived effort 8/10.
Tempo on 2020-03-11: 6.71 miles at 7:37/mi, avg HR 168 bpm, elevation gain 34 ft. Location: the forest preserve. Weather was crisp. Perceived effort 10/10.
Interval on 2020-03-13: 7.55 miles at 6:45/mi, avg HR 174 bpm, elevation gain 121 ft. Location: the beach path. Weather was rainy. Perceived effort 7/10.
Long run on 2020-03-14: 11.94 miles at 9:39/mi, avg HR 146 bpm, elevation gain 183 ft. Location: Riverside Park. Weather was muggy. Perceived effort 7/10.
Trail on 2020-03-15: 4.04 miles at 11:39/mi, avg HR 142 bpm, elevation gain 14 ft. Location: the lake path. Weather was rainy. Perceived effort 1/10.
Long run on 2020-03-18: 17.82 miles at 10:55/mi, avg HR 148 bpm, elevation gain 20 ft. Location: Central Park. Weather was perfect weather. Perceived effort 6/10.
Interval on 2020-03-19: 5.3 miles at 6:00/mi, avg HR 178 bpm, elevation gain 109 ft. Location: the trails. Weather was windy. Perceived effort 9/10.
Tempo on 2020-03-21: 9.26 miles at 7:58/mi, avg HR 165 bpm, elevation gain 67 ft. Location: the lake path. Weather was humid. Perceived effort 5/10.
Interval on 2020-03-23: 5.06 miles at 6:22/mi, avg HR 165 bpm, elevation gain 22 ft. Location: the canal trail. Weather was overcast. Perceived effort 8/10.
Long run on 2020-03-25: 20.7 miles at 9:57/mi, avg HR 147 bpm, elevation gain 79 ft. Location: Central Park. Weather was muggy. Perceived effort 9/10.
Long run on 2020-03-26: 16.92 miles at 10:00/mi, avg HR 156 bpm, elevation gain 54 ft. Location: the beach path. Weather was windy. Perceived effort 3/10.
Fartlek on 2020-03-28: 6.25 miles at 8:48/mi, avg HR 148 bpm, elevation gain 1 ft. Location: the waterfront. Weather was windy. Perceived effort 7/10.
Tempo on 2020-03-29: 11.52 miles at 6:57/mi, avg HR 165 bpm, elevation gain 246 ft. Location: the lake path. Weather was sunny. Perceived effort 7/10.
Fartlek on 2020-03-30: 4.12 miles at 8:23/mi, avg HR 160 bpm, elevation gain 210 ft. Location: the treadmill. Weather was perfect weather. Perceived effort 9/10.
Fartlek on 2020-04-02: 11.71 miles at 8:44/mi, avg HR 154 bpm, elevation gain 153 ft. Location: the track. Weather was windy. Perceived effort 5/10.
Easy on 2020-04-03: 10.81 miles at 9:04/mi, avg HR 127 bpm, elevation gain 30 ft. Location: the hills. Weather was breezy. Perceived effort 9/10.
Recovery on 2020-04-04: 4.81 miles at 11:06/mi, avg HR 120 bpm, elevation gain 95 ft. Location: Central Park. Weather was sunny. Perceived effort 10/10.
Tempo on 2020-04-06: 8.92 miles at 7:03/mi, avg HR 163 bpm, elevation gain 368 ft. Location: Central Park. Weather was foggy. Perceived effort 2/10.
Long run on 2020-04-07: 20.53 miles at 10:01/mi, avg HR 135 bpm, elevation gain 108 ft. Location: the hills. Weather was overcast. Perceived effort 4/10.
Long run on 2020-04-09: 14.31 miles at 10:32/mi, avg HR 153 bpm, elevation gain 27 ft. Location: the hills. Weather was windy. Perceived effort 10/10.
Easy on 2020-04-11: 10.94 miles at 9:45/mi, avg HR 144 bpm, elevation gain 195 ft. Location: the hills. Weather was overcast. Perceived effort 7/10.
Recovery on 2020-04-14: 4.39 miles at 11:15/mi, avg HR 160 bpm, elevation gain 83 ft. Location: the treadmill. Weather was windy. Perceived effort 6/10.
Race on 2020-04-15: 26.2 miles at 7:28/mi, avg HR 173 bpm, elevation gain 176 ft. Location: the track. Weather was muggy. Perceived effort 5/10.
Recovery on 2020-04-17: 2.28 miles at 10:25/mi, avg HR 117 bpm, elevation gain 69 ft. Location: the beach path. Weather was overcast. Perceived effort 1/10.
Long run on 2020-04-19: 16.51 miles at 9:58/mi, avg HR 140 bpm, elevation gain 27 ft. Location: Riverside Park. Weather was foggy. Perceived effort 4/10.
Race on 2020-04-21: 6.2 miles at 6:47/mi, avg HR 168 bpm, elevation gain 3 ft. Location: downtown. Weather was overcast. Perceived effort 4/10.
Race on 2020-04-22: 6.2 miles at 6:45/mi, avg HR 176 bpm, elevation gain 10 ft. Location: the waterfront. Weather was foggy. Perceived effort 5/10.
Easy on 2020-04-24: 5.73 miles at 10:16/mi, avg HR 141 bpm, elevation gain 78 ft. Location: the neighborhood. Weather was foggy. Perceived effort 5/10.
Long run on 2020-04-27: 17.65 miles at 11:11/mi, avg HR 159 bpm, elevation gain 103 ft. Location: the track. Weather was cold. Perceived effort 2/10.
Tempo on 2020-04-28: 6.58 miles at 7:30/mi, avg HR 165 bpm, elevation gain 126 ft. Location: the treadmill. Weather was cold. Perceived effort 10/10.
Recovery on 2020-04-29: 2.24 miles at 10:46/mi, avg HR 116 bpm, elevation gain 2 ft. Location: the trails. Weather was muggy. Perceived effort 5/10.
Fartlek on 2020-05-01: 5.39 miles at 8:06/mi, avg HR 168 bpm, elevation gain 13 ft. Location: the treadmill. Weather was sunny. Perceived effort 2/10.
Trail on 2020-05-04: 9.72 miles at 11:39/mi, avg HR 135 bpm, elevation gain 86 ft. Location: the canal trail. Weather was cold. Perceived effort 1/10.
Recovery on 2020-05-05: 3.84 miles at 11:11/mi, avg HR 143 bpm, elevation gain 43 ft. Location: the beach path. Weather was humid. Perceived effort 5/10.
Fartlek on 2020-05-06: 10.06 miles at 8:07/mi, avg HR 144 bpm, elevation gain 1 ft. Location: the greenway. Weather was breezy. Perceived effort 7/10.
Easy on 2020-05-08: 4.78 miles at 9:22/mi, avg HR 154 bpm, elevation gain 54 ft. Location: Riverside Park. Weather was overcast. Perceived effort 3/10.
Easy on 2020-05-10: 7.47 miles at 8:50/mi, avg HR 139 bpm, elevation gain 40 ft. Location: the canal trail. Weather was hot. Perceived effort 10/10.
Tempo on 2020-05-12: 4.36 miles at 8:16/mi, avg HR 172 bpm, elevation gain 37 ft. Location: the lake path. Weather was humid. Perceived effort 1/10.
Recovery on 2020-05-13: 4.57 miles at 11:01/mi, avg HR 148 bpm, elevation gain 85 ft. Location: the beach path. Weather was sunny. Perceived effort 6/10.
Interval on 2020-05-14: 6.34 miles at 6:24/mi, avg HR 172 bpm, elevation gain 225 ft. Location: the neighborhood. Weather was overcast. Perceived effort 6/10.
Trail on 2020-05-16: 9.15 miles at 10:33/mi, avg HR 158 bpm, elevation gain 49 ft. Location: the hills. Weather was breezy. Perceived effort 3/10.
Tempo on 2020-05-17: 7.09 miles at 7:50/mi, avg HR 162 bpm, elevation gain 259 ft. Location: the beach path. Weather was humid. Perceived effort 7/10.
Tempo on 2020-05-18: 6.55 miles at 7:15/mi, avg HR 163 bpm, elevation gain 149 ft. Location: the forest preserve. Weather was hot. Perceived effort 7/10.
Interval on 2020-05-21: 6.79 miles at 6:11/mi, avg HR 169 bpm, elevation gain 79 ft. Location: the treadmill. Weather was humid. Perceived effort 2/10.
Easy on 2020-05-23: 10.43 miles at 9:40/mi, avg HR 144 bpm, elevation gain 26 ft. Location: the canal trail. Weather was rainy. Perceived effort 4/10.
Fartlek on 2020-05-24: 10.45 miles at 8:46/mi, avg HR 149 bpm, elevation gain 372 ft. Location: downtown. Weather was cold. Perceived effort 4/10.
Easy on 2020-05-25: 10.21 miles at 8:36/mi, avg HR 130 bpm, elevation gain 33 ft. Location: the neighborhood. Weather was windy. Perceived effort 7/10.
Race on 2020-05-26: 3.1 miles at 7:46/mi, avg HR 164 bpm, elevation gain 112 ft. Location: the beach path. Weather was cold. Perceived effort 6/10.
Trail on 2020-05-29: 6.56 miles at 12:09/mi, avg HR 148 bpm, elevation gain 180 ft. Location: the neighborhood. Weather was foggy. Perceived effort 6/10.
Long run on 2020-05-30: 21.41 miles at 10:09/mi, avg HR 143 bpm, elevation gain 68 ft. Location: the treadmill. Weather was humid. Perceived effort 10/10.
Easy on 2020-05-31: 6.35 miles at 9:05/mi, avg HR 156 bpm, elevation gain 31 ft. Location: Riverside Park. Weather was crisp. Perceived effort 7/10.
Recovery on 2020-06-01: 4.37 miles at 11:34/mi, avg HR 136 bpm, elevation gain 124 ft. Location: the lake path. Weather was crisp. Perceived effort 9/10.
Trail on 2020-06-02: 4.46 miles at 11:29/mi, avg HR 140 bpm, elevation gain 63 ft. Location: the hills. Weather was windy. Perceived effort 5/10.
Trail on 2020-06-03: 6.81 miles at 11:59/mi, avg HR 146 bpm, elevation gain 9 ft. Location: Central Park. Weather was foggy. Perceived effort 9/10.
Interval on 2020-06-06: 6.47 miles at 6:42/mi, avg HR 167 bpm, elevation gain 8 ft. Location: downtown. Weather was perfect weather. Perceived effort 2/10.
Recovery on 2020-06-09: 2.22 miles at 11:07/mi, avg HR 125 bpm, elevation gain 138 ft. Location: the hills. Weather was hot. Perceived effort 2/10.
Race on 2020-06-12: 13.1 miles at 6:45/mi, avg HR 169 bpm, elevation gain 7 ft. Location: the neighborhood. Weather was perfect weather. Perceived effort 6/10.
Race on 2020-06-14: 6.2 miles at 7:34/mi, avg HR 164 bpm, elevation gain 235 ft. Location: the trails. Weather was perfect weather. Perceived effort 7/10.
Tempo on 2020-06-17: 10.22 miles at 7:08/mi, avg HR 160 bpm, elevation gain 65 ft. Location: the hills. Weather was crisp. Perceived effort 5/10.
Easy on 2020-06-19: 4.89 miles at 9:55/mi, avg HR 138 bpm, elevation gain 54 ft. Location: the treadmill. Weather was cold. Perceived effort 4/10.
Recovery on 2020-06-21: 2.17 miles at 10:59/mi, avg HR 127 bpm, elevation gain 10 ft. Location: the waterfront. Weather was rainy. Perceived effort 8/10.
Interval on 2020-06-24: 6.98 miles at 6:39/mi, avg HR 165 bpm, elevation gain 70 ft. Location: the greenway. Weather was rainy. Perceived effort 3/10.
Long run on 2020-06-27: 13.43 miles at 9:56/mi, avg HR 148 bpm, elevation gain 162 ft. Location: the treadmill. Weather was foggy. Perceived effort 10/10.
Long run on 2020-06-28: 10.89 miles at 10:06/mi, avg HR 145 bpm, elevation gain 64 ft. Location: the canal trail. Weather was windy. Perceived effort 5/10.
Interval on 2020-06-29: 6.52 miles at 6:30/mi, avg HR 175 bpm, elevation gain 95 ft. Location: the track. Weather was sunny. Perceived effort 1/10.
Fartlek on 2020-06-30: 8.67 miles at 9:34/mi, avg HR 148 bpm, elevation gain 185 ft. Location: the hills. Weather was overcast. Perceived effort 8/10.
Interval on 2020-07-02: 5.11 miles at 7:35/mi, avg HR 165 bpm, elevation gain 16 ft. Location: the forest preserve. Weather was breezy. Perceived effort 7/10.
Trail on 2020-07-04: 8.67 miles at 10:26/mi, avg HR 143 bpm, elevation gain 6 ft. Location: the trails. Weather was humid. Perceived effort 1/10.
Trail on 2020-07-05: 6.48 miles at 11:40/mi, avg HR 163 bpm, elevation gain 134 ft. Location: the trails. Weather was humid. Perceived effort 9/10.
Easy on 2020-07-07: 11.29 miles at 9:03/mi, avg HR 143 bpm, elevation gain 138 ft. Location: the greenway. Weather was windy. Perceived effort 2/10.
Tempo on 2020-07-09: 11.46 miles at 6:50/mi, avg HR 176 bpm, elevation gain 160 ft. Location: the beach path. Weather was rainy. Perceived effort 9/10.
Recovery on 2020-07-11: 4.96 miles at 11:35/mi, avg HR 126 bpm, elevation gain 13 ft. Location: the beach path. Weather was rainy. Perceived effort 10/10.
Trail on 2020-07-14: 11.76 miles at 10:38/mi, avg HR 158 bpm, elevation gain 147 ft. Location: the canal trail. Weather was foggy. Perceived effort 8/10.
Fartlek on 2020-07-15: 7.32 miles at 8:26/mi, avg HR 164 bpm, elevation gain 25 ft. Location: the waterfront. Weather was cold. Perceived effort 4/10.
Race on 2020-07-18: 26.2 miles at 7:00/mi, avg HR 168 bpm, elevation gain 117 ft. Location: the neighborhood. Weather was windy. Perceived effort 5/10.
Long run on 2020-07-20: 11.55 miles at 9:50/mi, avg HR 132 bpm, elevation gain 246 ft. Location: the forest preserve. Weather was cold. Perceived effort 4/10.
Recovery on 2020-07-21: 4.02 miles at 10:19/mi, avg HR 134 bpm, elevation gain 77 ft. Location: downtown. Weather was foggy. Perceived effort 2/10.
Tempo on 2020-07-22: 9.37 miles at 7:05/mi, avg HR 159 bpm, elevation gain 58 ft. Location: the trails. Weather was perfect weather. Perceived effort 3/10.
Interval on 2020-07-25: 7.41 miles at 6:33/mi, avg HR 184 bpm, elevation gain 64 ft. Location: Riverside Park. Weather was perfect weather. Perceived effort 7/10.
Fartlek on 2020-07-26: 7.23 miles at 9:00/mi, avg HR 156 bpm, elevation gain 11 ft. Location: the lake path. Weather was sunny. Perceived effort 4/10.
Trail on 2020-07-28: 5.7 miles at 12:14/mi, avg HR 155 bpm, elevation gain 11 ft. Location: the beach path. Weather was crisp. Perceived effort 1/10.
Trail on 2020-07-30: 7.5 miles at 10:37/mi, avg HR 159 bpm, elevation gain 187 ft. Location: the waterfront. Weather was sunny. Perceived effort 6/10.
Trail on 2020-07-31: 10.27 miles at 11:35/mi, avg HR 130 bpm, elevation gain 40 ft. Location: the canal trail. Weather was perfect weather. Perceived effort 9/10.
Interval on 2020-08-03: 7.8 miles at 6:59/mi, avg HR 174 bpm, elevation gain 12 ft. Location: the waterfront. Weather was windy. Perceived effort 5/10.
Fartlek on 2020-08-05: 6.07 miles at 8:29/mi, avg HR 161 bpm, elevation gain 49 ft. Location: Central Park. Weather was perfect weather. Perceived effort 6/10.
Trail on 2020-08-08: 6.63 miles at 11:30/mi, avg HR 151 bpm, elevation gain 80 ft. Location: the forest preserve. Weather was humid. Perceived effort 8/10.
Easy on 2020-08-09: 5.03 miles at 9:26/mi, avg HR 139 bpm, elevation gain 10 ft. Location: the lake path. Weather was crisp. Perceived effort 10/10.
Easy on 2020-08-12: 6.77 miles at 8:56/mi, avg HR 143 bpm, elevation gain 181 ft. Location: Riverside Park. Weather was muggy. Perceived effort 7/10.
Fartlek on 2020-08-13: 5.38 miles at 9:31/mi, avg HR 152 bpm, elevation gain 17 ft. Location: the track. Weather was sunny. Perceived effort 5/10.
Recovery on 2020-08-15: 2.27 miles at 10:35/mi, avg HR 125 bpm, elevation gain 10 ft. Location: the trails. Weather was rainy. Perceived effort 6/10.
Trail on 2020-08-16: 6.91 miles at 10:46/mi, avg HR 146 bpm, elevation gain 56 ft. Location: the treadmill. Weather was perfect weather. Perceived effort 5/10.
Fartlek on 2020-08-17: 10.4 miles at 8:26/mi, avg HR 155 bpm, elevation gain 79 ft. Location: Central Park. Weather was breezy. Perceived effort 9/10.
Recovery on 2020-08-18: 4.24 miles at 11:25/mi, avg HR 125 bpm, elevation gain 16 ft. Location: the trails. Weather was muggy. Perceived effort 2/10.
Easy on 2020-08-21: 7.88 miles at 9:13/mi, avg HR 130 bpm, elevation gain 77 ft. Location: the beach path. Weather was sunny. Perceived effort 4/10.
Easy on 2020-08-22: 9.98 miles at 9:11/mi, avg HR 122 bpm, elevation gain 2 ft. Location: the hills. Weather was humid. Perceived effort 4/10.
Fartlek on 2020-08-23: 11.16 miles at 8:55/mi, avg HR 147 bpm, elevation gain 57 ft. Location: the neighborhood. Weather was overcast. Perceived effort 10/10.
Fartlek on 2020-08-24: 7.58 miles at 8:00/mi, avg HR 155 bpm, elevation gain 60 ft. Location: the forest preserve. Weather was cold. Perceived effort 6/10.
Long run on 2020-08-25: 14.53 miles at 9:35/mi, avg HR 137 bpm, elevation gain 1 ft. Location: the beach path. Weather was humid. Perceived effort 5/10.
Easy on 2020-08-26: 6.62 miles at 8:58/mi, avg HR 134 bpm, elevation gain 10 ft. Location: the treadmill. Weather was crisp. Perceived effort 7/10.
Interval on 2020-08-28: 6.72 miles at 6:36/mi, avg HR 179 bpm, elevation gain 124 ft. Location: Riverside Park. Weather was crisp. Perceived effort 4/10.
Race on 2020-08-29: 3.1 miles at 6:33/mi, avg HR 167 bpm, elevation gain 61 ft. Location: the beach path. Weather was crisp. Perceived effort 1/10.
Trail on 2020-08-30: 7.45 miles at 12:15/mi, avg HR 152 bpm, elevation gain 10 ft. Location: the neighborhood. Weather was hot. Perceived effort 2/10.
Recovery on 2020-09-01: 3.94 miles at 10:33/mi, avg HR 118 bpm, elevation gain 67 ft. Location: Central Park. Weather was perfect weather. Perceived effort 8/10.
Trail on 2020-09-02: 4.81 miles at 10:48/mi, avg HR 152 bpm, elevation gain 13 ft. Location: downtown. Weather was muggy. Perceived effort 8/10.
Tempo on 2020-09-05: 5.49 miles at 7:10/mi, avg HR 158 bpm, elevation gain 26 ft. Location: the lake path. Weather was humid. Perceived effort 9/10.
Race on 2020-09-08: 26.2 miles at 7:01/mi, avg HR 161 bpm, elevation gain 42 ft. Location: the waterfront. Weather was perfect weather. Perceived effort 10/10.
Recovery on 2020-09-09: 4.6 miles at 11:11/mi, avg HR 129 bpm, elevation gain 135 ft. Location: the canal trail. Weather was windy. Perceived effort 2/10.
Fartlek on 2020-09-10: 9.35 miles at 8:08/mi, avg HR 150 bpm, elevation gain 212 ft. Location: the trails. Weather was rainy. Perceived effort 10/10.
Trail on 2020-09-12: 6.24 miles at 12:31/mi, avg HR 160 bpm, elevation gain 117 ft. Location: downtown. Weather was sunny. Perceived effort 8/10.
Tempo on 2020-09-13: 7.4 miles at 7:13/mi, avg HR 153 bpm, elevation gain 56 ft. Location: the waterfront. Weather was windy. Perceived effort 6/10.
Recovery on 2020-09-14: 3.83 miles at 10:46/mi, avg HR 127 bpm, elevation gain 27 ft. Location: the treadmill. Weather was crisp. Perceived effort 5/10.
Easy on 2020-09-16: 7.85 miles at 8:55/mi, avg HR 142 bpm, elevation gain 60 ft. Location: the greenway. Weather was windy. Perceived effort 2/10.
Trail on 2020-09-17: 5.08 miles at 11:25/mi, avg HR 144 bpm, elevation gain 5 ft. Location: the waterfront. Weather was foggy. Perceived effort 4/10.
Fartlek on 2020-09-20: 9.45 miles at 8:11/mi, avg HR 161 bpm, elevation gain 114 ft. Location: the neighborhood. Weather was breezy. Perceived effort 8/10.
Easy on 2020-09-22: 7.29 miles at 9:08/mi, avg HR 159 bpm, elevation gain 34 ft. Location: Riverside Park. Weather was cold. Perceived effort 4/10.
Interval on 2020-09-24: 4.72 miles at 6:34/mi, avg HR 172 bpm, elevation gain 5 ft. Location: the treadmill. Weather was muggy. Perceived effort 10/10.
Fartlek on 2020-09-25: 10.73 miles at 8:44/mi, avg HR 167 bpm, elevation gain 12 ft. Location: the greenway. Weather was foggy. Perceived effort 6/10.
Recovery on 2020-09-27: 2.49 miles at 10:41/mi, avg HR 134 bpm, elevation gain 14 ft. Location: downtown. Weather was breezy. Perceived effort 8/10.
Race on 2020-09-28: 13.1 miles at 7:16/mi, avg HR 176 bpm, elevation gain 59 ft. Location: the trails. Weather was overcast. Perceived effort 4/10.
Long run on 2020-09-29: 14.71 miles at 10:26/mi, avg HR 142 bpm, elevation gain 135 ft. Location: the forest preserve. Weather was foggy. Perceived effort 3/10.
Interval on 2020-09-30: 5.85 miles at 5:28/mi, avg HR 163 bpm, elevation gain 28 ft. Location: the forest preserve. Weather was rainy. Perceived effort 5/10.
Race on 2020-10-03: 3.1 miles at 7:00/mi, avg HR 181 bpm, elevation gain 21 ft. Location: the canal trail. Weather was windy. Perceived effort 5/10.
Recovery on 2020-10-04: 3.63 miles at 10:52/mi, avg HR 136 bpm, elevation gain 189 ft. Location: the track. Weather was cold. Perceived effort 1/10.
Tempo on 2020-10-07: 11.52 miles at 7:03/mi, avg HR 164 bpm, elevation gain 79 ft. Location: the treadmill. Weather was sunny. Perceived effort 1/10.
Race on 2020-10-09: 6.2 miles at 6:33/mi, avg HR 164 bpm, elevation gain 126 ft. Location: the neighborhood. Weather was rainy. Perceived effort 2/10.
Race on 2020-10-10: 26.2 miles at 7:19/mi, avg HR 186 bpm, elevation gain 179 ft. Location: the waterfront. Weather was rainy. Perceived effort 6/10.
Easy on 2020-10-11: 6.49 miles at 9:15/mi, avg HR 143 bpm, elevation gain 22 ft. Location: the treadmill. Weather was rainy. Perceived effort 2/10.
Trail on 2020-10-12: 11.01 miles at 12:15/mi, avg HR 151 bpm, elevation gain 33 ft. Location: the waterfront. Weather was overcast. Perceived effort 10/10.
Easy on 2020-10-15: 5.2 miles at 10:08/mi, avg HR 136 bpm, elevation gain 20 ft. Location: the track. Weather was humid. Perceived effort 10/10.
Long run on 2020-10-16: 17.69 miles at 10:28/mi, avg HR 152 bpm, elevation gain 94 ft. Location: the trails. Weather was overcast. Perceived effort 9/10.
Interval on 2020-10-18: 5.38 miles at 5:40/mi, avg HR 174 bpm, elevation gain 16 ft. Location: the beach path. Weather was foggy. Perceived effort 7/10.
Fartlek on 2020-10-20: 7.21 miles at 8:35/mi, avg HR 161 bpm, elevation gain 49 ft. Location: the treadmill. Weather was crisp. Perceived effort 7/10.
Easy on 2020-10-21: 8.89 miles at 9:35/mi, avg HR 161 bpm, elevation gain 1 ft. Location: the hills. Weather was breezy. Perceived effort 2/10.
Interval on 2020-10-22: 7.69 miles at 7:23/mi, avg HR 176 bpm, elevation gain 98 ft. Location: the treadmill. Weather was muggy. Perceived effort 2/10.
