activity_id,date,run_type,distance_miles,duration_minutes,pace_min_per_mile,avg_heart_rate,elevation_gain_ft,location,weather,perceived_effort
229,2021-01-20,interval,4.48,26.0,5.8,176,6,the waterfront,crisp,3
230,2021-01-21,fartlek,9.8,78.2,7.98,165,5,the neighborhood,cold,8
231,2021-01-22,easy,10.33,100.3,9.71,124,30,the beach path,rainy,5
232,2021-01-25,tempo,8.93,70.8,7.93,164,21,Riverside Park,rainy,6
233,2021-01-27,race,26.2,192.8,7.36,168,128,the forest preserve,cold,8
234,2021-01-28,interval,5.92,36.9,6.24,183,79,the lake path,rainy,2
235,2021-01-29,trail,7.37,83.1,11.28,159,107,the hills,hot,10
236,2021-01-30,race,3.1,21.0,6.79,165,35,the canal trail,muggy,7
237,2021-01-31,easy,5.87,52.8,9.0,131,3,the hills,muggy,1
238,2021-02-02,fartlek,9.44,71.1,7.53,145,19,the canal trail,cold,4
239,2021-02-04,recovery,4.64,50.7,10.92,123,231,the trails,muggy,4
240,2021-02-06,race,6.2,50.5,8.15,162,14,the neighborhood,overcast,1
241,2021-02-07,fartlek,8.86,76.0,8.58,158,57,Central Park,crisp,6
242,2021-02-10,tempo,5.76,41.4,7.18,157,16,Riverside Park,cold,6
243,2021-02-13,trail,4.46,49.9,11.18,157,278,the track,windy,3
244,2021-02-15,recovery,4.09,47.9,11.71,125,13,the greenway,foggy,5
245,2021-02-16,race,26.2,176.1,6.72,173,20,the beach path,cold,6
246,2021-02-17,fartlek,8.64,83.6,9.68,162,7,Riverside Park,humid,4
247,2021-02-20,trail,5.04,57.1,11.32,152,175,the canal trail,foggy,6
248,2021-02-21,trail,8.41,99.0,11.77,156,7,Central Park,cold,9
249,2021-02-22,fartlek,6.08,46.4,7.63,144,102,downtown,muggy,5
250,2021-02-24,trail,5.76,63.8,11.08,147,91,the canal trail,muggy,6
251,2021-02-25,interval,6.37,30.3,4.76,165,139,the waterfront,sunny,10
252,2021-02-27,recovery,3.7,43.1,11.66,120,24,the hills,windy,2
253,2021-03-02,fartlek,9.27,79.9,8.62,157,152,the forest preserve,cold,7
254,2021-03-03,tempo,10.7,82.4,7.7,167,95,Central Park,sunny,5
255,2021-03-05,long run,19.03,199.8,10.5,157,13,Riverside Park,windy,9
256,2021-03-06,trail,9.95,112.5,11.31,141,14,the waterfront,hot,9
257,2021-03-08,tempo,8.06,62.1,7.71,165,0,the lake path,muggy,2
258,2021-03-10,trail,11.85,141.1,11.91,136,79,the treadmill,sunny,6
259,2021-03-11,fartlek,8.32,73.9,8.88,144,121,the waterfront,windy,6
260,2021-03-12,recovery,3.62,40.3,11.13,126,263,the greenway,muggy,6
261,2021-03-13,trail,11.46,138.7,12.1,136,8,the treadmill,windy,2
262,2021-03-15,long run,10.81,109.1,10.09,148,28,the neighborhood,windy,10
263,2021-03-16,easy,8.66,80.7,9.32,141,33,the beach path,hot,4
264,2021-03-17,interval,7.49,46.9,6.26,173,290,Riverside Park,foggy,4
265,2021-03-19,interval,4.1,27.4,6.68,167,1,the canal trail,windy,6
266,2021-03-20,easy,10.16,95.8,9.43,123,91,the treadmill,humid,3
267,2021-03-22,race,6.2,38.1,6.15,164,468,Riverside Park,muggy,1
268,2021-03-23,easy,5.31,46.6,8.78,122,126,downtown,windy,10
269,2021-03-24,easy,4.66,41.9,8.99,145,91,the track,cold,1
270,2021-03-25,trail,11.61,126.1,10.86,154,13,the greenway,overcast,2
271,2021-03-27,fartlek,7.36,65.0,8.83,154,81,the beach path,hot,9
272,2021-03-29,long run,21.81,201.5,9.24,139,42,the waterfront,foggy,4
273,2021-03-31,easy,5.7,53.5,9.38,142,2,the forest preserve,muggy,9
274,2021-04-01,fartlek,10.91,85.9,7.87,166,51,the neighborhood,sunny,1
275,2021-04-03,trail,10.17,118.7,11.67,151,149,the lake path,muggy,2
276,2021-04-05,fartlek,5.05,44.5,8.82,165,2,Riverside Park,overcast,6
277,2021-04-07,tempo,10.37,78.8,7.6,167,52,Riverside Park,humid,5
278,2021-04-09,recovery,2.6,27.7,10.66,144,54,the lake path,crisp,9
279,2021-04-10,fartlek,6.15,52.6,8.56,149,127,the greenway,crisp,7
280,2021-04-11,long run,10.14,99.2,9.78,129,6,the canal trail,muggy,9
281,2021-04-14,interval,6.4,40.1,6.27,152,27,the lake path,rainy,4
282,2021-04-16,recovery,4.34,49.4,11.39,133,3,the canal trail,rainy,7
283,2021-04-18,long run,12.9,122.8,9.52,144,345,downtown,perfect weather,6
284,2021-04-21,race,13.1,91.7,7.0,158,77,the track,muggy,8
285,2021-04-22,long run,10.12,103.8,10.26,159,31,the canal trail,overcast,2
286,2021-04-24,long run,14.21,135.8,9.56,145,2,the forest preserve,breezy,6
287,2021-04-25,easy,5.06,47.6,9.41,134,67,the hills,foggy,9
288,2021-04-26,long run,12.4,130.1,10.49,149,14,the lake path,hot,7
289,2021-04-29,easy,9.65,93.0,9.64,133,2,the treadmill,crisp,5
290,2021-04-30,long run,20.45,223.1,10.91,147,100,the hills,foggy,4
291,2021-05-01,fartlek,10.52,86.4,8.21,163,6,the trails,overcast,6
292,2021-05-03,recovery,4.45,49.2,11.06,137,48,Riverside Park,cold,10
293,2021-05-04,trail,9.85,115.2,11.7,165,6,the canal trail,foggy,10
294,2021-05-06,easy,10.32,92.7,8.98,135,86,the hills,muggy,5
295,2021-05-07,tempo,9.75,87.6,8.98,161,20,the treadmill,breezy,5
296,2021-05-08,recovery,4.04,42.2,10.44,134,5,Central Park,humid,3
297,2021-05-10,trail,9.82,118.3,12.05,147,108,Riverside Park,humid,1
298,2021-05-11,interval,5.48,30.5,5.57,164,351,the lake path,perfect weather,8
299,2021-05-12,tempo,9.8,65.9,6.72,178,53,downtown,cold,6
300,2021-05-14,long run,17.11,157.1,9.18,140,194,Central Park,humid,3
301,2021-05-16,easy,9.05,88.4,9.77,129,105,the neighborhood,overcast,5
302,2021-05-18,trail,11.27,131.9,11.7,142,15,the waterfront,crisp,8
303,2021-05-20,race,6.2,44.4,7.16,165,54,the beach path,foggy,2
304,2021-05-21,trail,7.56,89.0,11.77,145,57,Riverside Park,cold,10
305,2021-05-23,race,3.1,23.5,7.57,154,14,the trails,perfect weather,10
306,2021-05-24,easy,6.07,58.8,9.69,139,85,the trails,cold,4
307,2021-05-25,race,13.1,98.9,7.55,162,11,downtown,overcast,1
308,2021-05-27,trail,5.89,67.6,11.48,151,6,the track,humid,7
309,2021-05-29,interval,5.35,35.0,6.54,161,141,the greenway,foggy,6
310,2021-05-30,trail,8.94,95.8,10.72,144,98,the canal trail,breezy,1
311,2021-06-01,easy,4.29,40.0,9.33,137,106,the waterfront,overcast,6
312,2021-06-03,trail,10.75,121.9,11.34,164,131,the hills,perfect weather,7
313,2021-06-04,long run,12.47,131.2,10.52,146,9,the lake path,sunny,6
314,2021-06-05,fartlek,8.25,69.8,8.46,154,220,the canal trail,breezy,6
315,2021-06-06,trail,6.53,77.5,11.87,147,56,the canal trail,overcast,4
316,2021-06-08,trail,7.64,91.4,11.96,150,57,the greenway,overcast,7
317,2021-06-09,recovery,2.42,29.1,12.04,128,2,the trails,hot,3
318,2021-06-10,long run,12.42,131.0,10.55,136,89,the greenway,foggy,4
319,2021-06-11,recovery,4.6,49.2,10.69,145,15,the forest preserve,muggy,3
320,2021-06-12,long run,21.34,222.8,10.44,148,91,the track,cold,4
321,2021-06-13,tempo,10.95,95.3,8.7,161,67,the beach path,muggy,2
322,2021-06-14,fartlek,5.73,51.9,9.05,164,86,the waterfront,crisp,10
323,2021-06-16,recovery,2.32,27.4,11.82,120,85,the canal trail,muggy,6
324,2021-06-17,fartlek,10.97,92.9,8.47,157,122,Riverside Park,rainy,8
325,2021-06-20,race,13.1,102.3,7.81,171,168,the hills,sunny,6
326,2021-06-22,long run,18.01,165.0,9.16,137,131,the treadmill,rainy,8
327,2021-06-23,easy,7.48,73.8,9.86,145,136,downtown,cold,2
328,2021-06-26,long run,10.07,101.3,10.06,136,31,the hills,crisp,9
329,2021-06-28,fartlek,9.56,75.1,7.86,141,39,the hills,foggy,1
330,2021-06-30,interval,5.49,31.4,5.72,169,20,downtown,crisp,8
331,2021-07-02,tempo,9.35,70.9,7.58,156,77,Central Park,rainy,2
332,2021-07-03,long run,20.36,180.8,8.88,139,58,the greenway,muggy,3
333,2021-07-04,interval,5.36,33.6,6.27,171,38,the forest preserve,rainy,8
334,2021-07-06,tempo,8.27,68.0,8.22,147,74,downtown,hot,5
335,2021-07-08,trail,9.74,115.3,11.84,152,249,the beach path,hot,10
336,2021-07-09,recovery,4.78,52.0,10.87,133,4,Riverside Park,hot,2
337,2021-07-11,trail,4.81,54.9,11.41,152,53,the treadmill,cold,10
338,2021-07-12,recovery,2.92,30.8,10.56,122,129,Riverside Park,crisp,3
339,2021-07-13,race,26.2,158.2,6.04,171,75,the track,crisp,2
340,2021-07-14,trail,7.31,80.5,11.01,155,10,the neighborhood,hot,3
341,2021-07-17,long run,12.18,125.2,10.28,137,59,the neighborhood,muggy,7
342,2021-07-19,recovery,3.7,39.6,10.7,132,23,Central Park,hot,5
343,2021-07-20,interval,7.22,46.9,6.49,176,63,downtown,rainy,4
344,2021-07-21,tempo,11.61,87.8,7.56,158,73,the track,overcast,5
345,2021-07-22,easy,5.82,55.4,9.52,140,19,the neighborhood,hot,10
346,2021-07-23,trail,10.72,115.8,10.8,161,184,the track,humid,3
347,2021-07-26,tempo,10.24,70.5,6.88,156,25,the forest preserve,rainy,1
348,2021-07-28,recovery,4.0,43.4,10.85,139,8,the neighborhood,breezy,4
349,2021-07-30,race,26.2,172.4,6.58,185,70,the trails,foggy,4
350,2021-07-31,fartlek,10.9,95.5,8.76,149,19,the canal trail,windy,6
351,2021-08-03,fartlek,8.37,76.3,9.11,167,21,the waterfront,cold,7
