run_id,run_type,mile,pace_min_per_mile,heart_rate
14,recovery,4,10.47,139
14,recovery,5,10.69,143
14,recovery,6,10.45,151
14,recovery,7,10.84,143
14,recovery,8,10.83,162
14,recovery,9,10.74,152
14,recovery,10,10.82,159
14,recovery,11,10.51,158
14,recovery,12,10.91,141
14,recovery,13,10.83,158
14,recovery,14,10.58,155
15,trail,1,11.46,139
15,trail,2,11.68,146
15,trail,3,11.8,153
16,long run,1,9.94,146
16,long run,2,9.94,156
16,long run,3,10.32,140
16,long run,4,10.05,151
16,long run,5,10.31,152
16,long run,6,10.25,147
16,long run,7,9.85,147
17,long run,1,10.02,127
17,long run,2,10.17,136
17,long run,3,10.03,143
17,long run,4,9.63,142
17,long run,5,10.18,151
17,long run,6,10.12,150
17,long run,7,9.83,159
17,long run,8,9.75,153
17,long run,9,9.7,148
17,long run,10,10.09,158
17,long run,11,9.5,150
17,long run,12,10.1,151
17,long run,13,9.79,154
17,long run,14,9.94,163
18,recovery,1,11.73,148
18,recovery,2,11.92,138
18,recovery,3,11.73,137
18,recovery,4,11.28,152
18,recovery,5,11.64,133
18,recovery,6,11.85,145
18,recovery,7,11.23,153
18,recovery,8,11.53,151
18,recovery,9,11.32,137
18,recovery,10,11.56,154
18,recovery,11,11.76,148
18,recovery,12,11.8,154
18,recovery,13,11.49,151
19,easy,1,8.79,141
19,easy,2,9.08,139
19,easy,3,9.4,141
19,easy,4,9.07,148
19,easy,5,9.07,160
20,tempo,1,8.11,143
20,tempo,2,8.39,145
20,tempo,3,8.08,157
20,tempo,4,8.2,151
20,tempo,5,8.03,148
20,tempo,6,8.08,154
20,tempo,7,7.71,146
20,tempo,8,7.93,148
20,tempo,9,7.88,149
20,tempo,10,7.87,153
20,tempo,11,7.86,155
20,tempo,12,8.28,149
21,easy,1,9.82,145
21,easy,2,9.61,147
21,easy,3,9.67,141
21,easy,4,9.47,151
21,easy,5,9.4,150
21,easy,6,9.47,144
21,easy,7,9.84,151
21,easy,8,9.8,154
21,easy,9,10.09,144
21,easy,10,9.71,157
22,long run,1,9.16,151
22,long run,2,9.96,142
22,long run,3,10.04,153
22,long run,4,9.55,138
22,long run,5,9.44,155
23,long run,1,10.65,136
23,long run,2,10.14,143
23,long run,3,10.47,148
23,long run,4,10.74,141
24,trail,1,12.37,155
24,trail,2,12.2,147
24,trail,3,12.24,145
24,trail,4,12.04,145
24,trail,5,12.27,150
24,trail,6,12.03,143
24,trail,7,12.11,137
24,trail,8,12.05,148
24,trail,9,12.44,151
24,trail,10,12.39,154
24,trail,11,11.95,154
24,trail,12,12.42,154
24,trail,13,11.99,160
24,trail,14,12.52,151
24,trail,15,12.46,152
25,long run,1,10.41,146
25,long run,2,11.27,145
25,long run,3,11.16,150
25,long run,4,11.05,147
25,long run,5,11.23,152
25,long run,6,11.19,147
25,long run,7,10.76,156
25,long run,8,10.86,151
25,long run,9,10.95,148
25,long run,10,10.63,150
25,long run,11,11.05,156
25,long run,12,11.18,147
25,long run,13,11.28,153
25,long run,14,11.07,160
25,long run,15,10.9,158
26,easy,1,8.98,139
26,easy,2,8.65,144
26,easy,3,8.96,148
26,easy,4,9.2,144
26,easy,5,8.93,150
26,easy,6,8.69,142
26,easy,7,8.88,151
26,easy,8,8.96,155
26,easy,9,9.14,151
26,easy,10,9.14,153
27,interval,1,5.54,142
27,interval,2,9.0,148
27,interval,3,5.54,146
27,interval,4,9.0,142
27,interval,5,5.54,152
27,interval,6,9.0,156
27,interval,7,5.54,155
27,interval,8,9.0,155
28,tempo,1,7.83,138
28,tempo,2,7.74,147
28,tempo,3,7.63,155
28,tempo,4,7.35,131
28,tempo,5,7.45,143
28,tempo,6,7.76,159
29,long run,1,10.4,143
29,long run,2,10.31,149
29,long run,3,10.54,145
29,long run,4,10.62,147
29,long run,5,10.17,156
29,long run,6,10.72,148
29,long run,7,10.5,151
29,long run,8,10.61,149
29,long run,9,10.62,149
29,long run,10,10.48,161
29,long run,11,10.51,145
29,long run,12,10.52,154
30,fartlek,1,8.15,142
30,fartlek,2,7.89,141
30,fartlek,3,7.81,144
30,fartlek,4,7.53,144
30,fartlek,5,8.22,138
30,fartlek,6,7.63,157
30,fartlek,7,8.0,147
30,fartlek,8,8.09,149
30,fartlek,9,8.33,154
31,race,1,7.46,146
31,race,2,7.76,145
31,race,3,7.45,145
31,race,4,7.76,140
31,race,5,7.75,142
31,race,6,7.6,145
31,race,7,7.74,144
32,long run,1,9.69,140
32,long run,2,9.73,154
32,long run,3,9.82,147
32,long run,4,9.74,139
32,long run,5,9.73,151
32,long run,6,9.82,149
32,long run,7,9.53,151
32,long run,8,9.54,148
32,long run,9,9.64,146
32,long run,10,9.57,144
32,long run,11,9.36,146
32,long run,12,9.83,146
33,fartlek,1,8.31,136
33,fartlek,2,8.01,141
33,fartlek,3,8.5,138
33,fartlek,4,8.35,158
33,fartlek,5,8.81,153
33,fartlek,6,8.24,147
33,fartlek,7,8.77,157
33,fartlek,8,8.47,156
33,fartlek,9,7.93,157
33,fartlek,10,8.08,149
33,fartlek,11,8.38,151
34,fartlek,1,7.93,148
34,fartlek,2,7.79,140
34,fartlek,3,7.74,143
34,fartlek,4,8.18,154
34,fartlek,5,8.08,154
34,fartlek,6,7.77,147
34,fartlek,7,8.14,143
34,fartlek,8,8.01,158
34,fartlek,9,7.89,156
34,fartlek,10,8.27,146
34,fartlek,11,8.01,147
34,fartlek,12,8.31,162
34,fartlek,13,8.06,152
35,recovery,1,10.62,148
35,recovery,2,10.83,139
35,recovery,3,10.48,148
35,recovery,4,10.81,148
35,recovery,5,10.48,151
35,recovery,6,10.48,162
35,recovery,7,10.49,145
35,recovery,8,10.49,153
35,recovery,9,10.9,158
35,recovery,10,10.9,160
35,recovery,11,10.73,153
35,recovery,12,10.63,147
35,recovery,13,11.04,145
36,recovery,1,11.48,142
36,recovery,2,11.44,150
36,recovery,3,11.47,144
36,recovery,4,11.61,150
36,recovery,5,11.52,157
36,recovery,6,11.49,152
36,recovery,7,11.29,156
36,recovery,8,11.62,148
37,long run,1,9.98,151
37,long run,2,9.72,145
37,long run,3,10.26,147
37,long run,4,10.16,140
37,long run,5,10.15,155
37,long run,6,10.3,152
37,long run,7,9.82,146
37,long run,8,9.77,161
38,recovery,1,10.25,143
38,recovery,2,10.52,149
38,recovery,3,10.55,153
38,recovery,4,10.02,154
39,easy,1,9.87,138
39,easy,2,9.81,137
39,easy,3,9.95,147
39,easy,4,10.14,141
39,easy,5,9.81,152
39,easy,6,9.8,140
39,easy,7,10.08,157
39,easy,8,10.06,148
39,easy,9,9.75,147
40,fartlek,1,8.06,148
40,fartlek,2,8.53,143
40,fartlek,3,8.36,145
40,fartlek,4,8.25,152
40,fartlek,5,7.99,152
40,fartlek,6,8.22,158
40,fartlek,7,8.08,138
40,fartlek,8,7.7,146
40,fartlek,9,8.09,155
41,easy,1,9.74,154
41,easy,2,9.6,145
41,easy,3,9.77,141
41,easy,4,9.75,134
41,easy,5,9.35,143
41,easy,6,9.76,150
41,easy,7,9.62,152
41,easy,8,9.89,147
41,easy,9,9.79,149
42,long run,1,10.11,153
42,long run,2,10.23,143
42,long run,3,9.91,152
42,long run,4,9.88,158
42,long run,5,10.43,154
43,interval,1,5.0,145
43,interval,2,7.96,137
43,interval,3,5.0,141
43,interval,4,7.96,147
43,interval,5,5.0,149
43,interval,6,7.96,145
43,interval,7,5.0,136
43,interval,8,7.96,151
43,interval,9,5.0,155
43,interval,10,7.96,156
43,interval,11,5.0,151
43,interval,12,7.96,153
44,long run,1,10.2,150
44,long run,2,10.1,144
44,long run,3,9.66,148
44,long run,4,10.4,141
44,long run,5,10.03,151
44,long run,6,9.88,153
44,long run,7,10.04,151
44,long run,8,10.14,155
44,long run,9,10.0,151
44,long run,10,10.01,151
44,long run,11,10.06,149
44,long run,12,10.19,156
44,long run,13,9.96,150
44,long run,14,10.19,157
44,long run,15,9.84,157
44,long run,16,10.52,163
45,fartlek,1,8.44,152
45,fartlek,2,8.66,150
45,fartlek,3,8.65,147
45,fartlek,4,8.64,149
45,fartlek,5,8.98,148
45,fartlek,6,8.35,149
46,fartlek,1,9.02,142
46,fartlek,2,9.18,141
46,fartlek,3,8.89,146
46,fartlek,4,9.17,144
46,fartlek,5,9.01,149
46,fartlek,6,9.15,145
46,fartlek,7,8.89,149
46,fartlek,8,9.15,145
46,fartlek,9,9.05,157
46,fartlek,10,9.37,152
46,fartlek,11,9.11,153
46,fartlek,12,9.16,156
46,fartlek,13,8.97,163
46,fartlek,14,9.12,155
46,fartlek,15,9.15,148
46,fartlek,16,8.99,162
47,trail,1,10.72,142
47,trail,2,11.06,147
47,trail,3,10.75,146
48,fartlek,1,8.33,135
48,fartlek,2,8.4,139
48,fartlek,3,8.43,137
48,fartlek,4,8.26,154
48,fartlek,5,8.01,151
48,fartlek,6,7.9,142
48,fartlek,7,7.69,157
48,fartlek,8,8.36,146
48,fartlek,9,8.19,153
48,fartlek,10,8.07,153
49,trail,1,11.39,140
49,trail,2,11.46,147
49,trail,3,11.39,144
49,trail,4,11.5,143
49,trail,5,11.51,146
49,trail,6,11.35,145
49,trail,7,11.67,153
50,trail,1,11.72,139
50,trail,2,11.26,151
50,trail,3,11.01,145
50,trail,4,11.53,137
50,trail,5,11.79,158
50,trail,6,11.55,151
50,trail,7,11.26,142
50,trail,8,11.25,157
50,trail,9,11.86,146
50,trail,10,11.37,146
51,fartlek,1,8.44,141
51,fartlek,2,8.46,145
51,fartlek,3,7.94,145
51,fartlek,4,8.39,146
51,fartlek,5,7.59,153
51,fartlek,6,8.23,150
51,fartlek,7,8.32,158
51,fartlek,8,8.35,151
51,fartlek,9,8.07,162
51,fartlek,10,8.16,158
52,race,1,6.99,138
52,race,2,6.79,145
52,race,3,6.99,146
52,race,4,6.76,131
52,race,5,7.23,143
52,race,6,6.89,159
52,race,7,7.03,148
52,race,8,6.5,150
52,race,9,6.91,140
52,race,10,6.89,145
52,race,11,7.14,155
52,race,12,7.06,151
52,race,13,7.16,149
52,race,14,7.05,161
52,race,15,7.21,152
52,race,16,7.04,150
53,easy,1,9.36,145
53,easy,2,9.36,145
53,easy,3,9.51,145
53,easy,4,9.39,148
53,easy,5,9.19,149
53,easy,6,9.63,155
53,easy,7,9.69,151
53,easy,8,9.47,156
53,easy,9,9.64,158
53,easy,10,9.45,144
53,easy,11,9.14,159
53,easy,12,9.7,157
53,easy,13,9.5,157
54,fartlek,1,8.94,144
54,fartlek,2,9.11,145
54,fartlek,3,8.78,142
54,fartlek,4,8.71,149
54,fartlek,5,9.1,146
55,race,1,6.88,141
55,race,2,6.82,151
55,race,3,6.94,139
55,race,4,7.22,146
55,race,5,6.89,143
55,race,6,6.95,151
55,race,7,6.93,150
56,easy,1,10.24,148
56,easy,2,10.11,147
56,easy,3,10.24,149
56,easy,4,10.26,145
56,easy,5,9.91,143
57,fartlek,1,7.3,149
57,fartlek,2,7.84,147
57,fartlek,3,8.47,151
58,fartlek,1,8.29,143
58,fartlek,2,8.31,140
58,fartlek,3,8.22,133
58,fartlek,4,8.24,147
58,fartlek,5,8.37,151
58,fartlek,6,8.38,149
58,fartlek,7,8.64,151
58,fartlek,8,8.57,148
58,fartlek,9,8.07,146
59,fartlek,1,8.59,151
59,fartlek,2,8.39,149
59,fartlek,3,8.02,153
59,fartlek,4,8.35,139
60,interval,1,5.25,143
60,interval,2,8.53,148
60,interval,3,5.25,142
60,interval,4,8.53,143
60,interval,5,5.25,148
60,interval,6,8.53,144
60,interval,7,5.25,151
60,interval,8,8.53,140
60,interval,9,5.25,157
60,interval,10,8.53,138
60,interval,11,5.25,157
60,interval,12,8.53,150
61,long run,1,9.31,150
61,long run,2,9.46,141
61,long run,3,9.51,147
62,race,1,6.13,142
62,race,2,6.18,146
62,race,3,6.03,136
62,race,4,5.74,142
62,race,5,5.99,144
62,race,6,6.49,143
62,race,7,6.19,155
62,race,8,6.01,153
62,race,9,6.08,145
62,race,10,6.19,145
62,race,11,5.8,146
62,race,12,5.81,152
62,race,13,5.96,155
62,race,14,6.01,157
62,race,15,6.47,151
62,race,16,6.12,156
63,interval,1,5.18,150
63,interval,2,8.41,149
63,interval,3,5.18,139
63,interval,4,8.41,137
63,interval,5,5.18,147
63,interval,6,8.41,145
64,easy,1,8.87,141
64,easy,2,9.14,138
64,easy,3,8.72,145
64,easy,4,9.39,141
64,easy,5,8.88,148
64,easy,6,9.15,148
65,long run,1,9.68,134
65,long run,2,9.86,156
65,long run,3,9.63,148
65,long run,4,9.5,152
65,long run,5,9.73,141
65,long run,6,9.74,149
65,long run,7,9.59,148
65,long run,8,9.92,145
65,long run,9,9.59,157
65,long run,10,9.95,152
65,long run,11,9.52,152
65,long run,12,9.82,156
65,long run,13,9.61,150
65,long run,14,9.7,156
66,fartlek,1,8.58,146
66,fartlek,2,8.76,141
66,fartlek,3,8.47,139
66,fartlek,4,8.44,140
66,fartlek,5,8.43,143
66,fartlek,6,8.42,154
66,fartlek,7,8.77,156
66,fartlek,8,8.54,151
66,fartlek,9,8.75,156
67,long run,1,9.59,140
67,long run,2,9.87,130
67,long run,3,9.75,157
67,long run,4,9.87,143
67,long run,5,9.73,143
67,long run,6,9.64,157
67,long run,7,9.68,143
67,long run,8,9.78,143
67,long run,9,9.77,150
67,long run,10,9.53,149
67,long run,11,9.7,149
67,long run,12,9.42,149
67,long run,13,9.65,153
68,easy,1,10.0,144
68,easy,2,10.49,137
68,easy,3,10.63,152
68,easy,4,10.19,147
68,easy,5,10.4,145
69,tempo,1,6.84,148
69,tempo,2,6.77,147
69,tempo,3,6.86,139
69,tempo,4,6.85,140
69,tempo,5,6.58,153
69,tempo,6,6.06,144
69,tempo,7,6.72,151
69,tempo,8,6.7,145
69,tempo,9,6.77,155
69,tempo,10,7.04,153
69,tempo,11,6.73,151
70,interval,1,5.46,146
70,interval,2,8.88,142
70,interval,3,5.46,146
70,interval,4,8.88,150
70,interval,5,5.46,153
70,interval,6,8.88,148
70,interval,7,5.46,158
70,interval,8,8.88,146
70,interval,9,5.46,143
70,interval,10,8.88,145
70,interval,11,5.46,152
71,race,1,7.04,149
71,race,2,6.88,148
71,race,3,7.46,145
71,race,4,7.31,151
71,race,5,6.78,142
71,race,6,6.99,146
71,race,7,7.02,138
71,race,8,7.15,151
71,race,9,6.71,147
71,race,10,6.67,163
71,race,11,6.77,153
71,race,12,7.31,157
71,race,13,6.88,157
72,interval,1,5.17,149
72,interval,2,8.4,145
72,interval,3,5.17,148
72,interval,4,8.4,159
72,interval,5,5.17,149
72,interval,6,8.4,146
72,interval,7,5.17,146
72,interval,8,8.4,150
72,interval,9,5.17,151
72,interval,10,8.4,152
72,interval,11,5.17,145
73,recovery,1,9.68,142
73,recovery,2,9.88,140
73,recovery,3,9.88,149
73,recovery,4,9.96,148
73,recovery,5,9.94,142
74,interval,1,5.45,149
74,interval,2,8.85,149
74,interval,3,5.45,151
74,interval,4,8.85,143
74,interval,5,5.45,152
74,interval,6,8.85,148
74,interval,7,5.45,160
74,interval,8,8.85,155
74,interval,9,5.45,153
74,interval,10,8.85,160
74,interval,11,5.45,150
74,interval,12,8.85,156
74,interval,13,5.45,165
74,interval,14,8.85,159
74,interval,15,5.45,156
75,race,1,6.68,143
75,race,2,6.81,153
75,race,3,6.71,145
75,race,4,6.82,145
75,race,5,6.85,148
75,race,6,7.07,139
75,race,7,6.79,148
75,race,8,6.75,151
75,race,9,7.05,161
75,race,10,7.01,152
75,race,11,6.82,155
75,race,12,6.99,155
75,race,13,6.82,165
76,interval,1,5.6,137
76,interval,2,9.1,151
76,interval,3,5.6,141
76,interval,4,9.1,144
76,interval,5,5.6,141
76,interval,6,9.1,158
76,interval,7,5.6,155
76,interval,8,9.1,156
76,interval,9,5.6,156
76,interval,10,9.1,155
76,interval,11,5.6,151
76,interval,12,9.1,154
76,interval,13,5.6,152
76,interval,14,9.1,151
76,interval,15,5.6,152
77,recovery,1,12.1,147
77,recovery,2,12.38,144
77,recovery,3,12.6,148
77,recovery,4,12.34,148
77,recovery,5,12.02,149
77,recovery,6,12.03,144
77,recovery,7,12.2,145
77,recovery,8,12.63,152
77,recovery,9,12.46,145
78,tempo,1,7.2,143
78,tempo,2,7.26,144
78,tempo,3,7.41,140
78,tempo,4,6.94,151
78,tempo,5,6.94,146
78,tempo,6,7.45,148
78,tempo,7,7.53,155
78,tempo,8,6.98,145
78,tempo,9,7.02,150
78,tempo,10,7.3,144
78,tempo,11,7.2,150
78,tempo,12,7.2,160
78,tempo,13,7.03,146
78,tempo,14,7.33,156
79,trail,1,12.41,149
79,trail,2,12.18,148
79,trail,3,12.08,152
79,trail,4,11.91,156
79,trail,5,12.61,150
79,trail,6,12.22,156
79,trail,7,11.94,146
79,trail,8,12.1,146
79,trail,9,12.08,146
79,trail,10,12.2,153
79,trail,11,12.78,139
80,trail,1,12.06,147
80,trail,2,12.33,140
80,trail,3,11.88,146
80,trail,4,12.38,152
80,trail,5,12.44,146
80,trail,6,12.18,156
81,race,1,6.04,145
81,race,2,5.73,142
81,race,3,6.17,142
81,race,4,6.07,149
81,race,5,6.07,145
81,race,6,6.26,153
81,race,7,6.05,149
81,race,8,6.67,150
81,race,9,6.27,151
82,long run,1,9.98,129
82,long run,2,10.33,135
82,long run,3,10.03,150
82,long run,4,10.0,149
82,long run,5,10.08,147
82,long run,6,9.9,160
82,long run,7,9.73,149
83,recovery,1,9.97,140
83,recovery,2,10.05,148
83,recovery,3,9.96,154
83,recovery,4,10.06,145
83,recovery,5,9.47,151
83,recovery,6,9.84,144
84,easy,1,9.39,135
84,easy,2,9.85,147
84,easy,3,9.27,147
84,easy,4,9.51,143
84,easy,5,9.76,154
85,interval,1,5.89,148
85,interval,2,9.57,144
85,interval,3,5.89,139
85,interval,4,9.57,148
85,interval,5,5.89,147
85,interval,6,9.57,148
85,interval,7,5.89,147
85,interval,8,9.57,147
85,interval,9,5.89,151
85,interval,10,9.57,146
85,interval,11,5.89,158
85,interval,12,9.57,149
85,interval,13,5.89,155
85,interval,14,9.57,153
85,interval,15,5.89,159
86,race,1,7.4,145
86,race,2,7.07,141
86,race,3,7.26,151
86,race,4,7.62,143
86,race,5,7.23,150
86,race,6,7.51,154
86,race,7,7.3,151
86,race,8,7.24,147
87,fartlek,1,8.44,151
87,fartlek,2,8.55,150
87,fartlek,3,8.49,146
87,fartlek,4,8.44,148
87,fartlek,5,8.72,153
87,fartlek,6,8.79,152
87,fartlek,7,8.8,151
87,fartlek,8,8.64,148
87,fartlek,9,8.88,146
87,fartlek,10,8.45,152
88,race,1,6.58,138
88,race,2,6.08,151
88,race,3,6.49,152
88,race,4,6.37,144
88,race,5,6.34,152
88,race,6,6.37,143
88,race,7,5.85,147
88,race,8,6.34,153
88,race,9,6.26,146
88,race,10,6.26,148
88,race,11,7.05,153
88,race,12,6.15,153
88,race,13,6.51,149
88,race,14,6.27,166
88,race,15,6.25,151
89,fartlek,1,9.1,145
89,fartlek,2,8.82,143
89,fartlek,3,9.07,137
89,fartlek,4,8.81,151
89,fartlek,5,8.99,158
89,fartlek,6,9.14,149
89,fartlek,7,8.87,146
89,fartlek,8,9.06,151
89,fartlek,9,8.86,157
89,fartlek,10,9.02,158
90,race,1,7.55,143
90,race,2,7.6,147
90,race,3,7.48,137
90,race,4,7.27,149
90,race,5,7.38,138
91,race,1,7.44,138
91,race,2,7.39,146
91,race,3,7.03,146
91,race,4,7.33,148
91,race,5,7.35,152
91,race,6,7.55,154
91,race,7,7.28,149
91,race,8,7.42,145
91,race,9,7.12,147
91,race,10,7.04,149
91,race,11,7.38,152
91,race,12,7.39,151
91,race,13,7.08,153
92,recovery,1,10.91,144
92,recovery,2,11.1,142
92,recovery,3,11.41,148
93,trail,1,11.07,153
93,trail,2,10.96,142
93,trail,3,10.89,140
93,trail,4,10.92,148
93,trail,5,10.97,144
93,trail,6,10.89,157
93,trail,7,11.36,152
93,trail,8,11.19,149
93,trail,9,11.29,149
93,trail,10,10.83,151
93,trail,11,11.04,143
93,trail,12,11.18,154
94,fartlek,1,8.39,145
94,fartlek,2,8.08,152
94,fartlek,3,8.4,137
94,fartlek,4,8.37,149
95,fartlek,1,8.47,148
95,fartlek,2,8.28,154
95,fartlek,3,8.2,156
95,fartlek,4,8.66,139
96,long run,1,9.97,151
96,long run,2,10.11,137
96,long run,3,10.21,141
96,long run,4,9.71,149
96,long run,5,9.81,158
97,interval,1,5.0,145
97,interval,2,7.36,148
97,interval,3,5.0,153
97,interval,4,7.36,149
97,interval,5,5.0,138
97,interval,6,7.36,142
97,interval,7,5.0,156
97,interval,8,7.36,152
97,interval,9,5.0,145
97,interval,10,7.36,154
98,interval,1,5.32,132
98,interval,2,8.65,135
98,interval,3,5.32,148
98,interval,4,8.65,157
99,fartlek,1,8.14,144
99,fartlek,2,8.31,143
99,fartlek,3,8.76,150
99,fartlek,4,8.78,152
100,long run,1,10.16,144
100,long run,2,10.53,155
100,long run,3,10.28,156
100,long run,4,10.23,149
100,long run,5,10.22,150
100,long run,6,10.35,151
100,long run,7,10.46,153
100,long run,8,9.95,151
100,long run,9,10.2,157
100,long run,10,10.26,154
100,long run,11,10.56,159
100,long run,12,10.18,146
100,long run,13,10.28,155
100,long run,14,10.51,160
100,long run,15,10.36,150
100,long run,16,10.66,159
101,easy,1,10.15,150
101,easy,2,9.73,144
101,easy,3,9.84,148
101,easy,4,9.69,149
101,easy,5,9.77,139
101,easy,6,10.12,147
101,easy,7,9.79,158
101,easy,8,9.66,146
101,easy,9,9.76,162
101,easy,10,9.7,154
101,easy,11,9.71,155
101,easy,12,9.69,154
101,easy,13,9.7,159
101,easy,14,9.56,160
101,easy,15,9.81,156
101,easy,16,9.6,154
102,recovery,1,10.45,136
102,recovery,2,10.3,143
102,recovery,3,10.12,140
102,recovery,4,10.17,148
102,recovery,5,10.28,143
102,recovery,6,10.09,146
102,recovery,7,10.3,161
103,interval,1,5.54,148
103,interval,2,9.01,152
103,interval,3,5.54,149
103,interval,4,9.01,140
104,tempo,1,6.3,141
104,tempo,2,6.88,145
104,tempo,3,6.63,145
104,tempo,4,6.73,145
104,tempo,5,6.78,140
105,fartlek,1,9.06,153
105,fartlek,2,8.68,143
105,fartlek,3,9.07,151
105,fartlek,4,8.51,150
105,fartlek,5,8.57,147
105,fartlek,6,8.62,150
105,fartlek,7,8.59,149
105,fartlek,8,8.85,139
105,fartlek,9,8.18,153
105,fartlek,10,8.53,149
106,long run,1,9.39,138
106,long run,2,9.37,147
106,long run,3,9.51,147
106,long run,4,9.26,146
106,long run,5,9.48,148
106,long run,6,9.31,161
106,long run,7,9.38,140
106,long run,8,9.4,149
107,easy,1,9.66,144
107,easy,2,9.98,149
107,easy,3,9.97,150
107,easy,4,9.59,149
107,easy,5,9.79,149
107,easy,6,10.27,141
107,easy,7,9.59,150
107,easy,8,9.82,156
107,easy,9,9.88,143
107,easy,10,9.91,145
107,easy,11,9.83,160
107,easy,12,9.93,146
108,trail,1,11.34,141
108,trail,2,11.74,147
108,trail,3,11.51,152
108,trail,4,11.61,154
108,trail,5,11.46,146
108,trail,6,11.85,138
109,interval,1,5.05,153
109,interval,2,8.2,141
109,interval,3,5.05,148
109,interval,4,8.2,145
109,interval,5,5.05,147
109,interval,6,8.2,155
109,interval,7,5.05,151
109,interval,8,8.2,160
109,interval,9,5.05,156
109,interval,10,8.2,152
109,interval,11,5.05,152
109,interval,12,8.2,155
109,interval,13,5.05,148
110,recovery,1,10.62,147
110,recovery,2,10.65,143
110,recovery,3,10.21,156
110,recovery,4,10.64,145
110,recovery,5,10.43,159
110,recovery,6,10.3,148
110,recovery,7,10.41,149
110,recovery,8,10.65,149
110,recovery,9,10.59,145
110,recovery,10,10.53,158
